subject,excluded,img,EmoRating,emotionality,attn,study,bad_trial,IA_name
106,0,H122ps.jpg,4,emo,BG,study2,0,H122ps.ias
106,0,CompNeu045.jpg,1,neu,BG,study2,0,CompNeu045.ias
106,0,1275ps.jpg,5,emo,FG,study2,0,1275ps.ias
106,0,CompNeu007.jpg,2,neu,BG,study2,0,CompNeu007.ias
106,0,6313ps.jpg,4,emo,BG,study2,0,6313ps.ias
106,0,H083ps.jpg,4,emo,BG,study2,0,H083ps.ias
106,0,9254ps.jpg,4,emo,FG,study2,0,9254ps.ias
106,0,CompNeu038.jpg,2,neu,FG,study2,0,CompNeu038.ias
106,0,Faces_025ps.jpg,5,emo,FG,study2,0,Faces_025ps.ias
106,0,H037ps.jpg,2,emo,BG,study2,0,H037ps.ias
106,0,Faces_011ps.jpg,3,emo,FG,study2,0,Faces_011ps.ias
106,0,CompNeu046.jpg,1,neu,FG,study2,0,CompNeu046.ias
106,0,H025ps.jpg,3,emo,FG,study2,0,H025ps.ias
106,0,CompNeu011.jpg,1,neu,BG,study2,0,CompNeu011.ias
106,0,7361ps.jpg,,emo,FG,study2,0,7361ps.ias
106,0,2718ps.jpg,,emo,BG,study2,0,2718ps.ias
106,0,CompNeu013.jpg,1,neu,BG,study2,0,CompNeu013.ias
106,0,H087ps.jpg,2,emo,FG,study2,0,H087ps.ias
106,0,Faces_172ps.jpg,3,emo,BG,study2,0,Faces_172ps.ias
106,0,CompNeu006.jpg,1,neu,FG,study2,0,CompNeu006.ias
106,0,6315ps.jpg,2,emo,FG,study2,0,6315ps.ias
106,0,2375ps.jpg,1,emo,BG,study2,0,2375ps.ias
106,0,H064ps.jpg,4,emo,BG,study2,0,H064ps.ias
106,0,CompNeu030.jpg,,neu,FG,study2,0,CompNeu030.ias
106,0,CompNeu024.jpg,,neu,BG,study2,0,CompNeu024.ias
106,0,3181ps.jpg,,emo,FG,study2,0,3181ps.ias
106,0,H099ps.jpg,,emo,BG,study2,0,H099ps.ias
106,0,6821ps.jpg,,emo,BG,study2,0,6821ps.ias
106,0,CompNeu040.jpg,,neu,FG,study2,0,CompNeu040.ias
106,0,H015ps.jpg,,emo,FG,study2,0,H015ps.ias
106,0,6555ps.jpg,,emo,FG,study2,1,6555ps.ias
106,0,CompNeu041.jpg,,neu,BG,study2,0,CompNeu041.ias
106,0,9425ps.jpg,,emo,BG,study2,0,9425ps.ias
106,0,2717ps.jpg,,emo,FG,study2,0,2717ps.ias
107,1,CompNeu002.jpg,,neu,BG,study2,0,CompNeu002.ias
107,1,2717ps.jpg,5,emo,FG,study2,0,2717ps.ias
107,1,9425ps.jpg,4,emo,BG,study2,0,9425ps.ias
107,1,CompNeu041.jpg,1,neu,BG,study2,0,CompNeu041.ias
107,1,6555ps.jpg,5,emo,FG,study2,0,6555ps.ias
107,1,H015ps.jpg,2,emo,FG,study2,0,H015ps.ias
107,1,CompNeu040.jpg,1,neu,FG,study2,0,CompNeu040.ias
107,1,H099ps.jpg,5,emo,BG,study2,0,H099ps.ias
107,1,3181ps.jpg,5,emo,FG,study2,0,3181ps.ias
107,1,CompNeu024.jpg,3,neu,BG,study2,0,CompNeu024.ias
107,1,CompNeu030.jpg,2,neu,FG,study2,0,CompNeu030.ias
107,1,H064ps.jpg,5,emo,BG,study2,0,H064ps.ias
107,1,2375ps.jpg,5,emo,BG,study2,0,2375ps.ias
107,1,6315ps.jpg,5,emo,FG,study2,0,6315ps.ias
107,1,CompNeu006.jpg,1,neu,FG,study2,0,CompNeu006.ias
107,1,Faces_172ps.jpg,5,emo,BG,study2,0,Faces_172ps.ias
107,1,H087ps.jpg,5,emo,FG,study2,0,H087ps.ias
107,1,CompNeu013.jpg,1,neu,BG,study2,0,CompNeu013.ias
107,1,2718ps.jpg,3,emo,BG,study2,0,2718ps.ias
107,1,7361ps.jpg,5,emo,FG,study2,0,7361ps.ias
107,1,CompNeu011.jpg,1,neu,BG,study2,0,CompNeu011.ias
107,1,6821ps.jpg,5,emo,BG,study2,0,6821ps.ias
107,1,H025ps.jpg,5,emo,FG,study2,0,H025ps.ias
107,1,CompNeu046.jpg,1,neu,FG,study2,0,CompNeu046.ias
107,1,H037ps.jpg,5,emo,BG,study2,0,H037ps.ias
107,1,CompNeu019.jpg,4,neu,FG,study2,0,CompNeu019.ias
107,1,2730ps.jpg,5,emo,FG,study2,0,2730ps.ias
107,1,CompNeu029.jpg,1,neu,BG,study2,0,CompNeu029.ias
107,1,H084ps.jpg,1,emo,BG,study2,0,H084ps.ias
107,1,Objects_003ps.jpg,5,emo,FG,study2,0,Objects_003ps.ias
107,1,Faces_147ps.jpg,1,emo,BG,study2,0,Faces_147ps.ias
107,1,CompNeu058.jpg,1,neu,BG,study2,0,CompNeu058.ias
107,1,CompNeu012.jpg,1,neu,FG,study2,0,CompNeu012.ias
107,1,H041ps.jpg,5,emo,FG,study2,0,H041ps.ias
107,1,230ps.jpg,1,emo,BG,study2,0,230ps.ias
107,1,CompNeu034.jpg,2,neu,BG,study2,0,CompNeu034.ias
107,1,People_070ps.jpg,5,emo,FG,study2,0,People_070ps.ias
107,1,H036ps.jpg,1,emo,BG,study2,0,H036ps.ias
107,1,2095ps.jpg,5,emo,FG,study2,0,2095ps.ias
107,1,3500ps.jpg,1,emo,BG,study2,0,3500ps.ias
107,1,CompNeu020.jpg,1,neu,FG,study2,0,CompNeu020.ias
107,1,2710ps.jpg,3,emo,FG,study2,0,2710ps.ias
107,1,3225ps.jpg,5,emo,BG,study2,0,3225ps.ias
107,1,CompNeu014.jpg,1,neu,BG,study2,0,CompNeu014.ias
107,1,3530ps.jpg,5,emo,FG,study2,0,3530ps.ias
107,1,CompNeu001.jpg,1,neu,BG,study2,0,CompNeu001.ias
107,1,2750ps.jpg,1,emo,BG,study2,0,2750ps.ias
107,1,215ps.jpg,4,emo,FG,study2,0,215ps.ias
107,1,CompNeu056.jpg,1,neu,FG,study2,0,CompNeu056.ias
107,1,6243ps.jpg,2,emo,BG,study2,0,6243ps.ias
107,1,1201ps.jpg,1,emo,BG,study2,0,1201ps.ias
107,1,CompNeu042.jpg,2,neu,FG,study2,0,CompNeu042.ias
107,1,3550ps.jpg,1,emo,BG,study2,0,3550ps.ias
107,1,MAPS338ps.jpg,4,emo,FG,study2,0,MAPS338ps.ias
107,1,H038ps.jpg,,emo,FG,study2,0,H038ps.ias
107,1,H053ps.jpg,2,emo,BG,study2,0,H053ps.ias
107,1,Faces_011ps.jpg,5,emo,FG,study2,0,Faces_011ps.ias
107,1,3230ps.jpg,5,emo,FG,study2,0,3230ps.ias
107,1,CompNeu057.jpg,1,neu,FG,study2,0,CompNeu057.ias
107,1,Faces_025ps.jpg,5,emo,FG,study2,0,Faces_025ps.ias
107,1,CompNeu038.jpg,1,neu,FG,study2,0,CompNeu038.ias
107,1,9254ps.jpg,5,emo,FG,study2,0,9254ps.ias
107,1,H083ps.jpg,5,emo,BG,study2,0,H083ps.ias
107,1,6313ps.jpg,5,emo,BG,study2,0,6313ps.ias
107,1,CompNeu007.jpg,1,neu,BG,study2,0,CompNeu007.ias
107,1,1275ps.jpg,5,emo,FG,study2,0,1275ps.ias
107,1,CompNeu045.jpg,3,neu,BG,study2,0,CompNeu045.ias
107,1,H122ps.jpg,3,emo,BG,study2,0,H122ps.ias
107,1,CompNeu017.jpg,2,neu,FG,study2,0,CompNeu017.ias
107,1,6836ps.jpg,1,emo,BG,study2,0,6836ps.ias
107,1,214ps.jpg,4,emo,FG,study2,0,214ps.ias
107,1,CompNeu026.jpg,1,neu,BG,study2,0,CompNeu026.ias
107,1,9428ps.jpg,5,emo,FG,study2,0,9428ps.ias
107,1,2691ps.jpg,3,emo,BG,study2,0,2691ps.ias
107,1,2700ps.jpg,4,emo,FG,study2,0,2700ps.ias
107,1,CompNeu050.jpg,1,neu,FG,study2,0,CompNeu050.ias
107,1,Faces_149ps.jpg,4,emo,BG,study2,0,Faces_149ps.ias
107,1,H059ps.jpg,2,emo,BG,study2,0,H059ps.ias
107,1,CompNeu031.jpg,1,neu,FG,study2,0,CompNeu031.ias
107,1,3101ps.jpg,5,emo,BG,study2,0,3101ps.ias
107,1,8230ps.jpg,5,emo,FG,study2,0,8230ps.ias
107,1,9415ps.jpg,5,emo,FG,study2,0,9415ps.ias
107,1,CompNeu060.jpg,1,neu,BG,study2,0,CompNeu060.ias
107,1,6415ps.jpg,5,emo,BG,study2,0,6415ps.ias
107,1,CompNeu004.jpg,2,neu,FG,study2,0,CompNeu004.ias
107,1,3015ps.jpg,5,emo,BG,study2,0,3015ps.ias
107,1,1200ps.jpg,5,emo,BG,study2,0,1200ps.ias
107,1,2981ps.jpg,5,emo,FG,study2,0,2981ps.ias
107,1,H034ps.jpg,5,emo,FG,study2,0,H034ps.ias
107,1,CompNeu054.jpg,1,neu,BG,study2,0,CompNeu054.ias
108,1,CompNeu002.jpg,,neu,BG,study2,0,CompNeu002.ias
108,1,2717ps.jpg,,emo,FG,study2,0,2717ps.ias
108,1,9425ps.jpg,,emo,BG,study2,0,9425ps.ias
108,1,CompNeu041.jpg,,neu,BG,study2,0,CompNeu041.ias
108,1,6555ps.jpg,,emo,FG,study2,0,6555ps.ias
108,1,H015ps.jpg,,emo,FG,study2,0,H015ps.ias
108,1,CompNeu040.jpg,,neu,FG,study2,0,CompNeu040.ias
108,1,H099ps.jpg,,emo,BG,study2,0,H099ps.ias
108,1,3181ps.jpg,,emo,FG,study2,0,3181ps.ias
108,1,CompNeu024.jpg,,neu,BG,study2,0,CompNeu024.ias
108,1,CompNeu030.jpg,,neu,FG,study2,0,CompNeu030.ias
108,1,H064ps.jpg,,emo,BG,study2,0,H064ps.ias
108,1,2375ps.jpg,,emo,BG,study2,0,2375ps.ias
108,1,6315ps.jpg,,emo,FG,study2,0,6315ps.ias
108,1,CompNeu006.jpg,,neu,FG,study2,0,CompNeu006.ias
108,1,Faces_172ps.jpg,,emo,BG,study2,0,Faces_172ps.ias
108,1,H087ps.jpg,,emo,FG,study2,0,H087ps.ias
108,1,CompNeu013.jpg,,neu,BG,study2,0,CompNeu013.ias
108,1,2718ps.jpg,,emo,BG,study2,0,2718ps.ias
108,1,7361ps.jpg,,emo,FG,study2,0,7361ps.ias
108,1,CompNeu011.jpg,,neu,BG,study2,0,CompNeu011.ias
